This flight happened on:Sun Mar  1 03:55:02 2020

 roll|pitch| yaw | ro_ra|pi_ra|ro_ra_sp|pi_ra_sp|  kill  | thr |roll |pitch| yaw | sp_a| sp_r| sp_p| sp_y| U0X | U1Y | U2Z | U3r | U4p | U5y |  M1 |  M2 |  M3 |  M4 |  M5 |  M6 |
+0.03|+0.59|-1.30|-8.56|+2.39|-0.13|-2.97||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|+0.60|-1.33|-9.03|+2.48|-0.06|-3.00||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.00|+0.61|-1.35|-9.36|+2.62|+0.01|-3.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.38|-9.56|+2.82|+0.07|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.63|-1.40|-9.60|+3.09|+0.10|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.42|-9.49|+3.40|+0.13|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.65|-1.43|-9.24|+3.73|+0.14|-3.23||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.65|-1.44|-8.87|+4.00|+0.14|-3.24||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.65|-1.44|-8.43|+4.20|+0.15|-3.23||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.44|-7.96|+4.31|+0.15|-3.22||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.45|-7.48|+4.34|+0.15|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.45|-7.00|+4.30|+0.16|-3.20||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.44|-6.53|+4.22|+0.16|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.45|-6.05|+4.13|+0.15|-3.22||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.45|-5.55|+4.03|+0.15|-3.22||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.45|-4.95|+3.86|+0.15|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.45|-4.45|+3.67|+0.14|-3.20||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.46|-3.93|+3.47|+0.12|-3.20||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.46|-3.39|+3.27|+0.11|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.46|-2.85|+3.07|+0.10|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.46|-2.34|+2.87|+0.10|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.47|-1.88|+2.68|+0.11|-3.21||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.47|-1.48|+2.47|+0.13|-3.20||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.47|-1.17|+2.24|+0.16|-3.19||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.04|+0.63|-1.47|-0.95|+1.99|+0.19|-3.17||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.04|+0.63|-1.47|-0.79|+1.71|+0.19|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.47|-0.61|+1.45|+0.16|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.46|-0.41|+1.20|+0.14|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.47|-0.23|+0.96|+0.15|-3.15||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.47|-0.11|+0.74|+0.17|-3.15||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.04|+0.63|-1.47|-0.01|+0.54|+0.18|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.04|+0.63|-1.47|+0.07|+0.38|+0.18|-3.17||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.48|+0.20|+0.26|+0.15|-3.18||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.48|+0.39|+0.18|+0.13|-3.19||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.48|+0.61|+0.12|+0.11|-3.19||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.48|+0.81|+0.06|+0.12|-3.19||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.48|+0.96|-0.00|+0.13|-3.19||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.49|+1.06|-0.06|+0.15|-3.18||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.48|+1.10|-0.13|+0.16|-3.18||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.48|+1.11|-0.19|+0.15|-3.18||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.48|+1.11|-0.25|+0.15|-3.17||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.64|-1.48|+1.11|-0.30|+0.14|-3.18||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.48|+1.14|-0.32|+0.12|-3.19||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.48|+1.19|-0.32|+0.11|-3.20||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.64|-1.48|+1.21|-0.33|+0.12|-3.18||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.48|+1.16|-0.38|+0.13|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.47|+1.05|-0.48|+0.14|-3.14||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.47|+0.91|-0.58|+0.14|-3.13||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.62|-1.46|+0.76|-0.69|+0.14|-3.12||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.62|-1.46|+0.60|-0.79|+0.14|-3.12||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.62|-1.47|+0.45|-0.88|+0.14|-3.12||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.03|+0.63|-1.47|+0.33|-0.93|+0.14|-3.13||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.63|-1.47|+0.26|-0.95|+0.12|-3.14||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.63|-1.47|+0.23|-0.93|+0.11|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.02|+0.63|-1.47|+0.24|-0.89|+0.09|-3.16||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.63|-1.47|+0.27|-0.87|+0.07|-3.14||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.63|-1.47|+0.31|-0.87|+0.06|-3.13||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.46|+0.34|-0.91|+0.05|-3.11||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.46|+0.37|-0.97|+0.04|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.46|+0.39|-1.04|+0.04|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.46|+0.42|-1.10|+0.03|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.46|+0.46|-1.13|+0.03|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.01|+0.62|-1.46|+0.50|-1.14|+0.03|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.00|+0.62|-1.46|+0.53|-1.13|+0.02|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.00|+0.62|-1.47|+0.56|-1.11|+0.02|-3.11||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
-0.00|+0.62|-1.46|+0.59|-1.08|+0.01|-3.11||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.00|+0.62|-1.46|+0.64|-1.03|-0.01|-3.11||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.00|+0.62|-1.46|+0.69|-0.98|-0.02|-3.11||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|+0.62|-1.46|+0.75|-0.94|-0.04|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|+0.62|-1.46|+0.79|-0.92|-0.05|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|+0.62|-1.45|+0.83|-0.91|-0.06|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|+0.62|-1.45|+0.86|-0.91|-0.07|-3.08||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.02|+0.62|-1.45|+0.89|-0.92|-0.08|-3.08||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.02|+0.62|-1.45|+0.92|-0.93|-0.09|-3.08||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.02|+0.62|-1.45|+0.96|-0.92|-0.10|-3.08||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.02|+0.62|-1.45|+1.01|-0.89|-0.11|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.02|+0.62|-1.45|+1.07|-0.84|-0.12|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.14|-0.78|-0.13|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.21|-0.72|-0.14|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.27|-0.67|-0.15|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.32|-0.63|-0.16|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.35|-0.61|-0.16|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.37|-0.59|-0.16|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.37|-0.57|-0.16|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.36|-0.55|-0.16|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.35|-0.52|-0.17|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.34|-0.50|-0.17|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.03|+0.62|-1.45|+1.33|-0.47|-0.17|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.45|+1.32|-0.45|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.30|-0.42|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.29|-0.40|-0.19|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.27|-0.38|-0.19|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.24|-0.36|-0.19|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.20|-0.34|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.16|-0.32|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.11|-0.30|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.05|-0.29|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+1.00|-0.29|-0.18|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+0.94|-0.28|-0.19|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+0.89|-0.26|-0.19|-3.09||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.04|+0.62|-1.46|+0.83|-0.24|-0.19|-3.10||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|-0.05|+0.00|+0.00|-0.03|+0.06|-0.80|+0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
